event,event_key
درگذشت جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران,درگذشت جلیل شهناز، از سرشناس‌ترین نوازندگان تار و سه تار سدهٔ اخیر در ایران
درگذشت پل کارر شیمیدان سوئیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۷,درگذشت پل کارر شیمیدان سوئیسی، برندهٔ جایزه نوبل شیمی سال ۱۹۳۷
زادروز چارلز لاورن زیست‌شناس فرانسوی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی در سال ۱۹۰۷,زادروز چارلز لاورن زیست‌شناس فرانسوی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی در سال ۱۹۰۷
درگذشت دکتر علی شریعتی,درگذشت دکتر علی شریعتی
زادروز آنگ سان سو چی فعال سیاسی، مدافع حقوق بشر، برنده جایزه صلح نوبل سال ۱۹۹۱,زادروز آنگ سان سو چی فعال سیاسی، مدافع حقوق بشر، برنده جایزه صلح نوبل سال ۱۹۹۱
درگذشت ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی، برندهٔ جایزه نوبل ادبیات در ۱۹۸۳,درگذشت ویلیام گلدینگ شاعر و رمان‌نویس بریتانیایی، برندهٔ جایزه نوبل ادبیات در ۱۹۸۳
درگذشت ژرژ لومتر کشیش و فیزیکدان بلژیکی,درگذشت ژرژ لومتر کشیش و فیزیکدان بلژیکی
شهادت دکتر مصطفی چمران,شهادت دکتر مصطفی چمران
جشن آب پاشونک، جشن آغاز تابستان,جشن آب پاشونک، جشن آغاز تابستان
روز اصناف,روز اصناف
درگذشت ابن سینا فیلسوف، پزشک و دانشمند نامدار ایرانی,درگذشت ابن سینا فیلسوف، پزشک و دانشمند نامدار ایرانی
درگذشت غیاث‌الدین جمشید کاشانی ریاضیدان و اخترشناس ایرانی,درگذشت غیاث‌الدین جمشید کاشانی ریاضیدان و اخترشناس ایرانی
زادروز آلن تورینگ، ریاضی‌دان، منطق‌دان، و رمزنگار بریتانیایی، دانشمند علوم رایانه,زادروز آلن تورینگ، ریاضی‌دان، منطق‌دان، و رمزنگار بریتانیایی، دانشمند علوم رایانه
درگذشت ابن سینا پزشک و فیلسوف ایرانی,درگذشت ابن سینا پزشک و فیلسوف ایرانی
زادروز فرد هویل ستاره‌شناس بریتانیایی,زادروز فرد هویل ستاره‌شناس بریتانیایی
زادروز آنتونیو گائودی کُرنت معمار کاتالان، از بزرگ‌ترین معماران دو قرن اخیر,زادروز آنتونیو گائودی کُرنت معمار کاتالان، از بزرگ‌ترین معماران دو قرن اخیر
روز جهانی مبارزه با مواد مخدر,روز جهانی مبارزه با مواد مخدر
درگذشت میرزا احمد آشتیانی فقیه، فیلسوف شیعی ایرانی,درگذشت میرزا احمد آشتیانی فقیه، فیلسوف شیعی ایرانی
زادروز لرد کلوین، فیزیکدان بریتانیایی,زادروز لرد کلوین، فیزیکدان بریتانیایی
درگذشت سوفی ژرمن ریاضی‌دان، فیزیکدان و فیلسوف فرانسوی,درگذشت سوفی ژرمن ریاضی‌دان، فیزیکدان و فیلسوف فرانسوی
انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و ۷۲ نفر از اعضای حزب؛ روز قوه قضاییه,انفجار دفتر حزب جمهوری اسلامی و شهادت دکتر بهشتی و 72 نفر از اعضای حزب؛ روز قوه قضاییه
زادروز ژان پی‌یر اوئل نقاش فرانسوی,زادروز ژان پی‌یر اوئل نقاش فرانسوی
روز مبارزه با سلاح های شیمیایی و میکروبی,روز مبارزه با سلاح های شیمیایی و میکروبی
زادروز آنتوان دو سنت‌اگزوپری نویسنده و خلبان فرانسوی، خالق شازده کوچولو,زادروز آنتوان دو سنت‌اگزوپری نویسنده و خلبان فرانسوی، خالق شازده کوچولو
درگذشت توماس هنری هاکسلی، زیست‌شناس انگلیسی,درگذشت توماس هنری هاکسلی، زیست‌شناس انگلیسی
درگذشت جان استرات، فیزیکدان انگلیسی، کاشف عنصر آرگون، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۴,درگذشت جان استرات، فیزیکدان انگلیسی، کاشف عنصر آرگون، برندهٔ جایزه نوبل فیزیک سال ۱۹۰۴
روز صنعت و معدن,روز صنعت و معدن
ژان ویکتور پونسله ریاضی‌دان و بنیادگذار هندسه تحلیلی اهل فرانسوی,ژان ویکتور پونسله ریاضی‌دان و بنیادگذار هندسه تحلیلی اهل فرانسوی
درگذشت لویی فردینان سلین نویسنده فرانسوی,درگذشت لویی فردینان سلین نویسنده فرانسوی
درگذشت کیخسرو شاهرخ، بنیانگذار آرامگاه فردوسی و کتابخانه مجلس شورای ملی و مدیر عامل شرکت سهامی تلفن,درگذشت کیخسرو شاهرخ، بنیانگذار آرامگاه فردوسی و کتابخانه مجلس شورای ملی و مدیر عامل شرکت سهامی تلفن
درگذشت داگلاس انگلبارت مخترع آمریکایی موشواره، از پیشگامان علوم رایانه و اینترنت,درگذشت داگلاس انگلبارت مخترع آمریکایی موشواره، از پیشگامان علوم رایانه و اینترنت
شلیک به پرواز ۶۵۵ ایران ایر توسط ناو وینسنس,شلیک به پرواز 655 ایران ایر توسط ناو وینسنس
تیر روز،جشن تیرگان,تیر روز،جشن تیرگان
تاسوعای حسینی,تاسوعای حسینی
زادروز فرشید مثقالی مجسمه‌ساز، گرافیست و تصویرگر کتاب کودک، اولین و تنها ایرانی برنده جایزه هانس کریستیان آندرسن,زادروز فرشید مثقالی مجسمه‌ساز، گرافیست و تصویرگر کتاب کودک، اولین و تنها ایرانی برنده جایزه هانس کریستیان آندرسن
روز قلم,روز قلم
عاشورای حسینی,عاشورای حسینی
درگذشت آلبرشت کوسل زیست‌شناس آلمانی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۱۰,درگذشت آلبرشت کوسل زیست‌شناس آلمانی، برندهٔ جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۱۰
جشن خام خواری,جشن خام خواری
درگذشت ویلیام فاکنر، رمان‌نویس آمریکایی و برندهٔ جایزه نوبل ادبیات.,درگذشت ویلیام فاکنر، رمان‌نویس آمریکایی و برندهٔ جایزه نوبل ادبیات.
زادروز دالایی لامای چهاردهم، برنده جایزه صلح نوبل سال ۱۹۸۹,زادروز دالایی لامای چهاردهم، برنده جایزه صلح نوبل سال ۱۹۸۹
شهادت  امام زین العابدین علیه السلام,شهادت  امام زین العابدین علیه السلام
زادروز کامیلو گولگی زیست‌شناس ایتالیایی، برنده جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۶,زادروز کامیلو گولگی زیست‌شناس ایتالیایی، برنده جایزه نوبل فیزیولوژی و پزشکی سال ۱۹۰۶
درگذشت یوهانا اشپیری نویسنده داستان‌های کودکان، خالق رمان هایدی,درگذشت یوهانا اشپیری نویسنده داستان‌های کودکان، خالق رمان هایدی
درگذشت کارو لوکس، از پژوهشگران به‌نام سیستم‌های هوشمند در ایران، «پدر علم رباتیک ایران»,درگذشت کارو لوکس، از پژوهشگران به‌نام سیستم‌های هوشمند در ایران، «پدر علم رباتیک ایران»
زادروز پیوتر کاپیتسا فیزیک‌دان روسی مولداوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۸,زادروز پیوتر کاپیتسا فیزیک‌دان روسی مولداوی، برندهٔ جایزه نوبل فیزیک سال ۱۹۷۸
درگذشت ژرژ باتای فیلسوف فرانسوی,درگذشت ژرژ باتای فیلسوف فرانسوی
درگذشت آمادئو آووگادرو دانشمند ایتالیایی,درگذشت آمادئو آووگادرو دانشمند ایتالیایی
زادروز نیکولا تسلا مخترع و فیزیکدان آمریکایی,زادروز نیکولا تسلا مخترع و فیزیکدان آمریکایی
درگذشت یوهان گوتفرید گاله ستاره‌شناس آلمانی,درگذشت یوهان گوتفرید گاله ستاره‌شناس آلمانی
زادروز تئودور میمن فیزیک‌دان آمریکایی و سازندهٔ اولین لیزر در جهان,زادروز تئودور میمن فیزیک‌دان آمریکایی و سازندهٔ اولین لیزر در جهان
درگذشت جوزپه آرچیمبولدو نقاش ایتالیایی,درگذشت جوزپه آرچیمبولدو نقاش ایتالیایی
زادروز ملاله یوسف‌زی، فعال حقوق بشر و حقوق کودکان و عضو کمپین تحصیل دختران اهل پاکستان، برندهٔ جایزه صلح نوبل,زادروز ملاله یوسف‌زی، فعال حقوق بشر و حقوق کودکان و عضو کمپین تحصیل دختران اهل پاکستان، برندهٔ جایزه صلح نوبل
درگذشت مریم میرزاخانی، ریاضیدان ایرانی و اولین زن برنده مدال فیلدز,درگذشت مریم میرزاخانی، ریاضیدان ایرانی و اولین زن برنده مدال فیلدز
زادروز عباس زریاب خویی، مترجم، تاریخ‌دان و کتاب‌شناس ایرانی,زادروز عباس زریاب خویی، مترجم، تاریخ‌دان و کتاب‌شناس ایرانی
درگذشت مهدی حمیدی شیرازی، ادیب، شاعر، مترجم و منتقد ایرانی,درگذشت مهدی حمیدی شیرازی، ادیب، شاعر، مترجم و منتقد ایرانی
زادروز گوستاو کلیمت نقاش نمادگرای اتریشی,زادروز گوستاو کلیمت نقاش نمادگرای اتریشی
درگذشت خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی، برنده جایزه نوبل ادبیات سال ۱۹۲۲,درگذشت خاسینتو بناونته نمایش‌نامه‌نویس اسپانیایی، برنده جایزه نوبل ادبیات سال ۱۹۲۲
